,count
0,780
57,736
18,629
65,541
5,409
66,409
7,366
17,360
80,340
2,333
68,322
8,315
15,298
52,296
54,295
25,285
60,271
43,260
14,251
78,244
91,242
72,241
84,238
69,235
97,233
4,232
35,231
98,230
77,230
67,229
33,229
37,228
56,226
44,217
71,217
42,212
70,207
27,200
12,199
75,198
31,194
64,193
46,191
89,191
13,188
81,188
9,188
38,187
95,187
10,186
50,185
1,179
28,176
73,175
83,171
26,170
23,169
96,167
51,167
40,166
47,165
87,162
94,161
48,160
16,157
34,151
49,149
39,149
22,148
36,146
86,146
93,144
24,142
59,142
55,140
11,137
19,135
3,134
53,133
99,132
6,130
62,123
92,120
74,117
30,116
63,113
82,109
41,107
90,106
32,98
85,64
21,10
88,6
61,5
29,3
20,3
76,2
45,1
58,1
79,1
