,count
11,506
45,461
40,456
34,450
2,448
5,440
84,424
55,424
67,416
70,409
42,406
94,404
46,403
8,399
79,395
20,391
0,389
25,386
60,385
76,382
51,377
43,369
47,368
37,365
49,360
35,359
82,358
30,350
23,344
90,343
64,341
44,336
98,328
59,327
83,324
57,323
52,320
71,319
99,301
10,301
50,293
33,291
66,288
63,283
18,282
85,279
74,275
61,273
19,267
77,263
97,263
87,262
48,249
21,245
88,243
56,213
13,139
72,54
31,33
16,32
54,31
24,31
62,29
27,19
89,16
73,14
81,12
6,12
53,10
91,10
69,9
1,9
65,9
95,8
92,6
29,5
14,5
3,4
38,4
93,4
9,4
15,4
75,3
17,3
96,3
28,3
4,2
32,2
39,2
7,2
58,2
86,1
36,1
22,1
80,1
12,1
78,1
41,1
68,1
26,1
