,0
0,38
1,18
2,71
3,0
4,46
5,37
6,80
7,93
8,32
9,91
10,54
11,30
12,7
13,0
14,44
15,68
16,31
17,35
18,57
19,68
20,47
21,5
22,17
23,65
24,80
25,67
26,77
27,44
28,71
29,57
30,52
31,72
32,39
33,15
34,37
35,18
36,75
37,15
38,60
39,5
40,0
41,17
42,96
43,35
44,13
45,0
46,84
47,7
48,68
49,93
50,91
51,33
52,5
53,43
54,66
55,72
56,1
57,48
58,7
59,80
60,36
61,87
62,59
63,0
64,64
65,14
66,92
67,5
68,1
69,5
70,57
71,0
72,60
73,55
74,73
75,84
76,41
77,4
78,70
79,75
80,57
81,73
82,22
83,43
84,18
85,66
86,0
87,31
88,17
89,17
90,57
91,37
92,33
93,57
94,84
95,75
96,35
97,15
98,8
99,65
100,89
101,96
102,51
103,73
104,66
105,15
106,97
107,49
108,67
109,65
110,68
111,14
112,80
113,28
114,77
115,80
116,68
117,3
118,71
119,91
120,12
121,33
122,94
123,33
124,28
125,8
126,83
127,3
128,54
129,3
130,32
131,25
132,12
133,25
134,22
135,25
136,25
137,74
138,14
139,33
140,84
141,0
142,46
143,92
144,18
145,28
146,37
147,98
148,78
149,25
150,8
151,48
152,40
153,74
154,80
155,32
156,68
157,68
158,80
159,10
160,52
161,96
162,17
163,54
164,0
165,37
166,57
167,1
168,44
169,23
170,65
171,93
172,70
173,50
174,32
175,17
176,57
177,18
178,12
179,85
180,18
181,25
182,7
183,92
184,19
185,92
186,31
187,96
188,36
189,54
190,5
191,96
192,5
193,23
194,2
195,11
196,26
197,5
198,52
199,85
200,1
201,94
202,68
203,21
204,16
205,28
206,52
207,2
208,9
209,26
210,66
211,44
212,40
213,87
214,68
215,50
216,68
217,75
218,57
219,7
220,60
221,8
222,55
223,43
224,4
225,90
226,69
227,14
228,57
229,18
230,53
231,57
232,78
233,57
234,31
235,31
236,87
237,86
238,54
239,34
240,57
241,66
242,15
243,37
244,71
245,93
246,36
247,60
248,57
249,57
250,49
251,87
252,18
253,97
254,52
255,69
256,73
257,35
258,87
259,9
260,81
261,56
262,0
263,42
264,40
265,66
266,75
267,52
268,65
269,23
270,0
271,47
272,11
273,94
274,65
275,0
276,26
277,70
278,91
279,57
280,36
281,82
282,80
283,38
284,95
285,99
286,57
287,17
288,47
289,12
290,46
291,93
292,19
293,9
294,75
295,70
296,16
297,8
298,56
299,43
300,7
301,66
302,5
303,7
304,17
305,54
306,70
307,70
308,8
309,15
310,67
311,75
312,7
313,4
314,5
315,0
316,77
317,70
318,4
319,57
320,69
321,62
322,7
323,48
324,1
325,33
326,98
327,60
328,0
329,91
330,18
331,4
332,87
333,59
334,39
335,25
336,69
337,65
338,33
339,57
340,72
341,28
342,51
343,87
344,65
345,77
346,5
347,70
348,19
349,87
350,54
351,92
352,24
353,91
354,60
355,18
356,2
357,7
358,18
359,19
360,31
361,17
362,22
363,65
364,48
365,77
366,89
367,14
368,1
369,77
370,80
371,46
372,82
373,77
374,86
375,38
376,31
377,83
378,57
379,7
380,40
381,28
382,64
383,39
384,52
385,43
386,66
387,66
388,47
389,0
390,31
391,10
392,3
393,77
394,25
395,78
396,43
397,17
398,18
399,18
400,94
401,6
402,62
403,67
404,66
405,93
406,28
407,18
408,95
409,25
410,31
411,31
412,39
413,98
414,18
415,65
416,90
417,90
418,97
419,36
420,1
421,1
422,11
423,80
424,35
425,92
426,80
427,34
428,41
429,8
430,38
431,4
432,13
433,35
434,48
435,19
436,39
437,2
438,77
439,31
440,8
441,52
442,24
443,69
444,17
445,35
446,47
447,15
448,75
449,59
450,94
451,98
452,18
453,15
454,7
455,66
456,48
457,7
458,7
459,64
460,75
461,1
462,26
463,66
464,84
465,71
466,90
467,42
468,18
469,46
470,18
471,14
472,0
473,14
474,26
475,11
476,97
477,65
478,83
479,23
480,14
481,44
482,50
483,28
484,11
485,52
486,22
487,25
488,40
489,40
490,74
491,35
492,65
493,43
494,4
495,91
496,73
497,18
498,33
499,99
500,35
501,62
502,10
503,57
504,57
505,78
506,66
507,57
508,94
509,55
510,46
511,26
512,7
513,26
514,1
515,48
516,84
517,57
518,65
519,16
520,54
521,51
522,47
523,43
524,14
525,25
526,16
527,9
528,18
529,16
530,55
531,59
532,5
533,75
534,43
535,57
536,18
537,46
538,2
539,59
540,18
541,0
542,73
543,85
544,59
545,56
546,38
547,98
548,43
549,51
550,31
551,36
552,87
553,36
554,33
555,11
556,47
557,67
558,85
559,57
560,0
561,73
562,57
563,0
564,99
565,73
566,99
567,1
568,65
569,48
570,2
571,54
572,67
573,34
574,62
575,34
576,0
577,18
578,31
579,15
580,63
581,78
582,5
583,99
584,7
585,48
586,44
587,56
588,91
589,35
590,95
591,1
592,72
593,19
594,92
595,80
596,35
597,81
598,18
599,65
600,18
601,34
602,34
603,26
604,72
605,14
606,80
607,23
608,56
609,2
610,94
611,83
612,34
613,47
614,40
615,47
616,71
617,7
618,65
619,56
620,56
621,26
622,54
623,44
624,42
625,13
626,39
627,11
628,77
629,81
630,18
631,87
632,18
633,90
634,25
635,41
636,64
637,38
638,65
639,78
640,43
641,42
642,4
643,74
644,68
645,93
646,7
647,14
648,74
649,0
650,31
651,13
652,18
653,67
654,77
655,5
656,3
657,17
658,43
659,15
660,34
661,5
662,15
663,68
664,18
665,96
666,23
667,2
668,65
669,14
670,43
671,10
672,17
673,13
674,57
675,73
676,52
677,7
678,18
679,7
680,51
681,13
682,28
683,28
684,27
685,69
686,17
687,99
688,3
689,12
690,52
691,13
692,83
693,10
694,43
695,0
696,11
697,0
698,33
699,64
700,0
701,1
702,48
703,0
704,33
705,60
706,3
707,28
708,50
709,38
710,65
711,37
712,52
713,54
714,18
715,52
716,53
717,5
718,8
719,42
720,77
721,66
722,37
723,13
724,68
725,2
726,80
727,46
728,5
729,68
730,96
731,96
732,80
733,78
734,69
735,18
736,18
737,14
738,33
739,28
740,57
741,0
742,57
743,72
744,68
745,42
746,83
747,89
748,2
749,38
750,42
751,67
752,96
753,66
754,28
755,18
756,0
757,75
758,0
759,16
760,10
761,18
762,66
763,96
764,65
765,57
766,5
767,98
768,18
769,92
770,57
771,64
772,78
773,54
774,48
775,66
776,92
777,24
778,1
779,69
780,70
781,60
782,10
783,57
784,12
785,60
786,68
787,5
788,51
789,18
790,44
791,67
792,57
793,37
794,18
795,13
796,31
797,23
798,37
799,18
800,68
801,95
802,5
803,70
804,46
805,52
806,13
807,0
808,65
809,94
810,97
811,2
812,13
813,56
814,80
815,80
816,86
817,85
818,78
819,18
820,32
821,50
822,15
823,99
824,4
825,68
826,46
827,33
828,51
829,43
830,18
831,84
832,84
833,37
834,83
835,25
836,43
837,8
838,33
839,84
840,18
841,66
842,18
843,46
844,37
845,78
846,65
847,97
848,34
849,59
850,62
851,78
852,37
853,15
854,78
855,97
856,98
857,34
858,87
859,27
860,2
861,0
862,34
863,26
864,0
865,18
866,18
867,18
868,53
869,53
870,2
871,35
872,68
873,75
874,62
875,44
876,50
877,57
878,27
879,17
880,65
881,37
882,75
883,36
884,8
885,99
886,37
887,64
888,57
889,70
890,3
891,68
892,5
893,69
894,3
895,68
896,25
897,51
898,70
899,54
900,16
901,2
902,3
903,49
904,0
905,10
906,25
907,50
908,87
909,6
910,57
911,57
912,34
913,57
914,48
915,56
916,55
917,54
918,46
919,7
920,31
921,28
922,54
923,82
924,17
925,60
926,77
927,87
928,56
929,64
930,65
931,44
932,14
933,0
934,7
935,34
936,89
937,57
938,78
939,18
940,9
941,66
942,37
943,9
944,94
945,72
946,52
947,2
948,15
949,0
950,65
951,24
952,8
953,32
954,8
955,26
956,18
957,70
958,64
959,94
960,10
961,14
