,0,OFFENCE,DAYS_SINCE
0,38,1,366.0
1,18,9,366.0
2,71,9,366.0
3,0,9,366.0
4,46,1,366.0
5,37,9,366.0
6,80,9,366.0
7,93,9,366.0
8,32,9,366.0
9,91,9,366.0
10,54,9,366.0
11,30,9,366.0
12,7,1,366.0
13,0,5,366.0
14,44,9,366.0
15,68,1,366.0
16,31,9,366.0
17,35,1,366.0
18,57,9,366.0
19,68,9,366.0
20,47,9,366.0
21,5,9,366.0
22,17,1,366.0
23,65,9,366.0
24,80,9,366.0
25,67,9,366.0
26,77,1,366.0
27,44,9,366.0
28,71,9,366.0
29,57,1,366.0
30,52,9,366.0
31,72,9,366.0
32,39,1,366.0
33,15,5,366.0
34,37,9,366.0
35,18,5,366.0
36,75,1,366.0
37,15,9,366.0
38,60,9,366.0
39,5,9,366.0
40,0,9,366.0
41,17,9,366.0
42,96,9,366.0
43,35,9,366.0
44,13,9,366.0
45,0,1,360.0
46,84,9,366.0
47,7,1,366.0
48,68,9,366.0
49,93,9,366.0
50,91,9,366.0
51,33,9,366.0
52,5,9,366.0
53,43,9,366.0
54,66,1,366.0
55,72,9,366.0
56,1,1,366.0
57,48,9,363.0
58,7,9,366.0
59,80,9,366.0
60,36,9,366.0
61,87,1,364.0
62,59,9,366.0
63,0,9,366.0
64,64,1,365.0
65,14,1,366.0
66,92,1,359.0
67,5,9,-304.0
68,1,10,366.0
69,5,1,365.0
70,57,9,365.0
71,0,9,365.0
72,60,9,366.0
73,55,9,365.0
74,73,1,365.0
75,84,1,365.0
76,41,9,365.0
77,4,9,366.0
78,70,9,366.0
79,75,9,366.0
80,57,9,366.0
81,73,9,366.0
82,22,9,366.0
83,43,9,366.0
84,18,1,366.0
85,66,9,366.0
86,0,9,366.0
87,31,9,366.0
88,17,9,366.0
89,17,9,366.0
90,57,9,366.0
91,37,9,366.0
92,33,9,366.0
93,57,9,367.0
94,84,9,367.0
95,75,1,358.0
96,35,10,358.0
97,15,9,367.0
98,8,9,367.0
99,65,9,121.0
100,89,9,367.0
101,96,1,367.0
102,51,9,178.0
103,73,10,367.0
104,66,9,366.0
105,15,1,366.0
106,97,1,366.0
107,49,1,367.0
108,67,1,367.0
109,65,9,367.0
110,68,1,367.0
111,14,9,367.0
112,80,1,367.0
113,28,9,367.0
114,77,5,367.0
115,80,9,367.0
116,68,1,367.0
117,3,1,367.0
118,71,9,367.0
119,91,1,367.0
120,12,9,364.0
121,33,9,367.0
122,94,9,367.0
123,33,9,367.0
124,28,1,367.0
125,8,1,367.0
126,83,5,365.0
127,3,1,365.0
128,54,1,365.0
129,3,1,365.0
130,32,1,365.0
131,25,1,367.0
132,12,1,367.0
133,25,1,367.0
134,22,1,367.0
135,25,5,367.0
136,25,10,367.0
137,74,5,367.0
138,14,9,366.0
139,33,9,366.0
140,84,1,366.0
141,0,1,366.0
142,46,9,366.0
143,92,1,366.0
144,18,9,366.0
145,28,9,366.0
146,37,9,366.0
147,98,9,325.0
148,78,1,366.0
149,25,1,367.0
150,8,9,367.0
151,48,1,367.0
152,40,1,357.0
153,74,9,367.0
154,80,1,368.0
155,32,5,368.0
156,68,1,365.0
157,68,1,352.0
158,80,1,353.0
159,10,5,358.0
160,52,1,367.0
161,96,9,368.0
162,17,1,368.0
163,54,1,368.0
164,0,9,368.0
165,37,10,365.0
166,57,10,368.0
167,1,1,368.0
168,44,9,368.0
169,23,5,368.0
170,65,9,368.0
171,93,10,368.0
172,70,1,368.0
173,50,1,368.0
174,32,1,368.0
175,17,9,368.0
176,57,1,368.0
177,18,1,367.0
178,12,9,367.0
179,85,1,367.0
180,18,1,367.0
181,25,9,367.0
182,7,9,368.0
183,92,9,368.0
184,19,1,368.0
185,92,9,368.0
186,31,9,368.0
187,96,1,368.0
188,36,1,368.0
189,54,9,368.0
190,5,9,368.0
191,96,1,368.0
192,5,1,368.0
193,23,9,368.0
194,2,9,368.0
195,11,1,368.0
196,26,1,368.0
197,5,1,367.0
198,52,9,368.0
199,85,1,368.0
200,1,1,368.0
201,94,1,354.0
202,68,9,368.0
203,21,9,3.0
204,16,9,367.0
205,28,1,368.0
206,52,1,367.0
207,2,9,369.0
208,9,9,319.0
209,26,9,369.0
210,66,1,369.0
211,44,1,369.0
212,40,9,369.0
213,87,1,369.0
214,68,5,369.0
215,50,9,331.0
216,68,9,369.0
217,75,9,369.0
218,57,9,369.0
219,7,9,369.0
220,60,9,369.0
221,8,9,369.0
222,55,9,369.0
223,43,9,369.0
224,4,9,369.0
225,90,1,369.0
226,69,9,369.0
227,14,9,369.0
228,57,1,369.0
229,18,5,369.0
230,53,9,369.0
231,57,9,369.0
232,78,9,369.0
233,57,9,369.0
234,31,9,369.0
235,31,9,364.0
236,87,1,369.0
237,86,9,369.0
238,54,9,369.0
239,34,9,369.0
240,57,1,369.0
241,66,1,364.0
242,15,9,369.0
243,37,10,366.0
244,71,9,369.0
245,93,1,368.0
246,36,9,369.0
247,60,1,368.0
248,57,1,368.0
249,57,1,368.0
